,precision,recall,f1-score,support
0,0.5252525252525253,0.5652173913043478,0.5445026178010471,92.0
1,0.7333333333333333,0.7006369426751592,0.7166123778501629,157.0
accuracy,0.6506024096385542,0.6506024096385542,0.6506024096385542,0.6506024096385542
macro avg,0.6292929292929292,0.6329271669897535,0.630557497825605,249.0
weighted avg,0.6564520709099022,0.6506024096385542,0.6530216231332205,249.0
